Strain,Diet,Body Weight (g),Skin Wet weight (g),Skin Dry Weight (g),Skin relative water,Skin Ash weight (g),Cl- (mg/kg),K+ (mg/kg),Na+ (mg/kg),Total  Cl- in skin (mg),Total K+ in skin (mg),Total Na+ in skin (mg),Total  Cl- in skin (mmol),Total K+ in skin (mmol),Total Na+ in skin (mmol),rSkin Cl- (mmol /g DW),rSkin K+ (mmol /g DW),rSkin Na+ (mmol /g DW),Skin Na+/Skin W,Skin K+/Skin W,Skin (Na + K)/Skin W,%W
BXH3,Sůl,286.600,58.010,23.637,0.593,0.532,142000.000,78000.000,143000.000,75.493,41.468,76.024,2.129,1.061,3.307,0.090,0.045,0.140,0.09620508252,0.0308555932,0.1270606757,59.25376561
BXH3,Sůl,308.400,61.603,23.115,0.625,0.597,145000.000,156000.000,137000.000,86.553,93.119,81.778,2.441,2.382,3.557,0.106,0.103,0.154,0.09242086944,0.06188015594,0.1543010254,62.47777021
BXH3,Sůl,306.600,58.917,23.711,0.598,0.493,116000.000,169000.000,142000.000,57.211,83.351,70.035,1.614,2.132,3.046,0.068,0.090,0.128,0.08653022367,0.06055409322,0.1470843169,59.75456099
BXH3,Voda,286.200,55.440,23.313,0.579,0.471,143000.000,164000.000,143000.000,67.371,77.265,67.371,1.900,1.976,2.930,0.082,0.085,0.126,0.09121438534,0.06151038779,0.1527247731,57.94982158
BXH3,Voda,264.000,55.173,22.831,0.586,0.462,85100.000,153000.000,111000.000,39.286,70.632,51.243,1.108,1.807,2.229,0.049,0.079,0.098,0.06891767703,0.05585684494,0.124774522,58.61876188
BXH3,Voda,285.300,58.000,24.172,0.583,0.459,89000.000,172000.000,130000.000,40.885,79.015,59.720,1.153,2.021,2.598,0.048,0.084,0.107,0.0767909053,0.05974096049,0.1365318658,58.3245625
HXB13,Sůl,331.700,57.489,22.544,0.608,0.553,138000.000,184000.000,119000.000,76.345,101.793,65.834,2.153,2.604,2.864,0.096,0.115,0.127,0.08194607047,0.07450343783,0.1564495083,60.78509696
HXB13,Sůl,347.700,60.861,23.562,0.613,0.588,145000.000,180000.000,120000.000,85.322,105.917,70.611,2.407,2.709,3.071,0.102,0.115,0.130,0.08234570021,0.07262890632,0.1549746065,61.2857264
HXB13,Sůl,379.900,68.081,25.598,0.624,0.626,133000.000,183000.000,123000.000,83.271,114.576,77.010,2.349,2.930,3.350,0.092,0.114,0.131,0.07884917776,0.06897956729,0.147828745,62.40053862
HXB13,Voda,377.900,68.378,26.688,0.610,0.625,140000.000,179000.000,126000.000,87.495,111.869,78.746,2.468,2.861,3.425,0.092,0.107,0.128,0.08215987462,0.06863088074,0.1507907554,60.97016625
HXB13,Voda,380.000,65.573,24.511,0.626,0.646,150000.000,168000.000,126000.000,96.940,108.573,81.430,2.734,2.777,3.542,0.112,0.113,0.145,0.08625970835,0.06762761017,0.1538873185,62.62001653
HXB13,Voda,350.000,60.667,23.052,0.620,0.602,145000.000,174000.000,122000.000,87.221,104.666,73.386,2.460,2.677,3.192,0.107,0.116,0.138,0.0848638351,0.07116875857,0.1560325937,62.00188372
BXH12,Sůl,238.000,39.660,16.145,0.593,0.373,150000.000,182000.000,137000.000,55.995,67.941,51.142,1.579,1.738,2.225,0.098,0.108,0.138,0.09460274714,0.07389786432,0.1685006115,59.29044542
BXH12,Sůl,246.500,41.940,16.364,0.610,0.460,123000.000,159000.000,118000.000,56.637,73.213,54.334,1.598,1.873,2.363,0.098,0.114,0.144,0.09240594169,0.07321369619,0.1656196379,60.98263742
BXH12,Sůl,237.200,38.947,15.463,0.603,0.367,141000.000,183000.000,142000.000,51.682,67.077,52.049,1.458,1.716,2.264,0.094,0.111,0.146,0.09640540299,0.07305356904,0.169458972,60.29788859
BXH12,Voda,243.600,41.792,16.570,0.604,0.414,93300.000,158000.000,114000.000,38.661,65.471,47.238,1.090,1.675,2.055,0.066,0.101,0.124,0.08146381088,0.06638871714,0.147852528,60.35270076
BXH12,Voda,255.800,44.483,17.219,0.613,0.460,99600.000,162000.000,122000.000,45.845,74.567,56.155,1.293,1.907,2.443,0.075,0.111,0.142,0.08958943586,0.06995025536,0.1595396912,61.29191206
BXH12,Voda,244.800,42.833,16.561,0.613,0.469,102000.000,155000.000,113000.000,47.801,72.639,52.956,1.348,1.858,2.303,0.081,0.112,0.139,0.08767442813,0.07071369239,0.1583881205,61.33722344
HXB10,Sůl,239.300,41.094,16.877,0.589,0.418,131000.000,170000.000,130000.000,54.751,71.051,54.333,1.544,1.817,2.363,0.092,0.108,0.140,0.09759521986,0.07504321544,0.1726384353,58.92916022
HXB10,Sůl,233.000,39.562,16.780,0.576,0.362,148000.000,180000.000,140000.000,53.636,65.233,50.737,1.513,1.668,2.207,0.090,0.099,0.132,0.0968682929,0.07323242816,0.1701007211,57.5868133
HXB10,Sůl,240.800,40.402,17.272,0.573,0.372,140000.000,173000.000,130000.000,52.040,64.306,48.323,1.468,1.645,2.102,0.085,0.095,0.122,0.09087424096,0.07110839328,0.1619826342,57.25022677
HXB10,Voda,227.900,38.862,16.580,0.573,0.338,98500.000,173000.000,129000.000,33.266,58.426,43.566,0.938,1.494,1.895,0.057,0.090,0.114,0.08504657597,0.06706416856,0.1521107445,57.33715894
HXB10,Voda,228.800,42.157,17.566,0.583,0.402,134000.000,179000.000,130000.000,53.810,71.880,52.203,1.518,1.838,2.271,0.086,0.105,0.129,0.09234116991,0.07476225112,0.167103421,58.33103552
HXB10,Voda,221.300,38.340,15.775,0.589,0.336,131000.000,130000.000,143000.000,44.079,43.742,48.116,1.243,1.119,2.093,0.079,0.071,0.133,0.09275207175,0.04958019749,0.1423322692,58.85527392
HXB17,Sůl,280.100,48.960,19.204,0.608,0.449,157000.000,194000.000,133000.000,70.427,87.024,59.661,1.987,2.226,2.595,0.103,0.116,0.135,0.087212666,0.07480092529,0.1620135913,60.7767692
