Strain,Diet,Number,Designation ,Body Weight (g),Skin Wet weight (g),Skin Dry Weight (g),Skin relative water,Skin Ash weight (g),Cl- (mg/kg),K+ (mg/kg),Na+ (mg/kg),Total  Cl- in skin (mg),Total K+ in skin (mg),Total Na+ in skin (mg),Total  Cl- in skin (mmol),Total K+ in skin (mmol),Total Na+ in skin (mmol),rSkin Cl- (mmol /g DW),rSkin K+ (mmol /g DW),rSkin Na+ (mmol /g DW),Skin Na+/Skin W,Skin K+/Skin W,Skin (Na + K)/Skin W,%W,rskin Na+/rW,rskin K+/rW,rskin Na+K/rW,rskin (Na+K)
BXH3,Sůl,1,BXH3-S-Skin-1,286.600,58.010,23.637,0.593,0.532,142000.000,78000.000,143000.000,75.493,41.468,76.024,2.129,1.061,3.307,0.090,0.045,0.140,0.09620508252,0.0308555932,0.1270606757,59.25376561,0.2361079102,0.0757262448,0.311834155,0.185
BXH3,Sůl,2,BXH3-S-Skin-2,308.400,61.603,23.115,0.625,0.597,145000.000,156000.000,137000.000,86.553,93.119,81.778,2.441,2.382,3.557,0.106,0.103,0.154,0.09242086944,0.06188015594,0.1543010254,62.47777021,0.2463096408,0.1649159879,0.4112256287,0.257
BXH3,Sůl,3,BXH3-S-Skin-3,306.600,58.917,23.711,0.598,0.493,116000.000,169000.000,142000.000,57.211,83.351,70.035,1.614,2.132,3.046,0.068,0.090,0.128,0.08653022367,0.06055409322,0.1470843169,59.75456099,0.2150062859,0.1504620019,0.3654682878,0.218
BXH3,Voda,4,BXH3-W-Skin-4,286.200,55.440,23.313,0.579,0.471,143000.000,164000.000,143000.000,67.371,77.265,67.371,1.900,1.976,2.930,0.082,0.085,0.126,0.09121438534,0.06151038779,0.1527247731,57.94982158,0.2169179508,0.1462785417,0.3631964925,0.210
BXH3,Voda,5,BXH3-W-Skin-5,264.000,55.173,22.831,0.586,0.462,85100.000,153000.000,111000.000,39.286,70.632,51.243,1.108,1.807,2.229,0.049,0.079,0.098,0.06891767703,0.05585684494,0.124774522,58.61876188,0.1665432939,0.1349810868,0.3015243807,0.177
BXH3,Voda,6,BXH3-W-Skin-6,285.300,58.000,24.172,0.583,0.459,89000.000,172000.000,130000.000,40.885,79.015,59.720,1.153,2.021,2.598,0.048,0.084,0.107,0.0767909053,0.05974096049,0.1365318658,58.3245625,0.1842593861,0.1433481304,0.3276075165,0.191
HXB13,Sůl,1,HXB13-S-Skin-1,331.700,57.489,22.544,0.608,0.553,138000.000,184000.000,119000.000,76.345,101.793,65.834,2.153,2.604,2.864,0.096,0.115,0.127,0.08194607047,0.07450343783,0.1564495083,60.78509696,0.2089666533,0.189987561,0.3989542142,0.243
HXB13,Sůl,2,HXB13-S-Skin-2,347.700,60.861,23.562,0.613,0.588,145000.000,180000.000,120000.000,85.322,105.917,70.611,2.407,2.709,3.071,0.102,0.115,0.130,0.08234570021,0.07262890632,0.1549746065,61.2857264,0.2127011372,0.1876023998,0.400303537,0.245
HXB13,Sůl,3,HXB13-S-Skin-3,379.900,68.081,25.598,0.624,0.626,133000.000,183000.000,123000.000,83.271,114.576,77.010,2.349,2.930,3.350,0.092,0.114,0.131,0.07884917776,0.06897956729,0.147828745,62.40053862,0.2097082641,0.183458924,0.3931671881,0.245
HXB13,Voda,4,HXB13-W-Skin-4,377.900,68.378,26.688,0.610,0.625,140000.000,179000.000,126000.000,87.495,111.869,78.746,2.468,2.861,3.425,0.092,0.107,0.128,0.08215987462,0.06863088074,0.1507907554,60.97016625,0.2105053154,0.1758421037,0.3863474191,0.236
HXB13,Voda,5,HXB13-W-Skin-5,380.000,65.573,24.511,0.626,0.646,150000.000,168000.000,126000.000,96.940,108.573,81.430,2.734,2.777,3.542,0.112,0.113,0.145,0.08625970835,0.06762761017,0.1538873185,62.62001653,0.2307644369,0.1809193154,0.4116837522,0.258
HXB13,Voda,6,HXB13-W-Skin-6,350.000,60.667,23.052,0.620,0.602,145000.000,174000.000,122000.000,87.221,104.666,73.386,2.460,2.677,3.192,0.107,0.116,0.138,0.0848638351,0.07116875857,0.1560325937,62.00188372,0.223336953,0.1872954913,0.4106324444,0.255
BXH12,Sůl,1,BXH12-S-Skin-1,238.000,39.660,16.145,0.593,0.373,150000.000,182000.000,137000.000,55.995,67.941,51.142,1.579,1.738,2.225,0.098,0.108,0.138,0.09460274714,0.07389786432,0.1685006115,59.29044542,0.2323846284,0.1815246201,0.4139092485,0.245
BXH12,Sůl,2,BXH12-S-Skin-2,246.500,41.940,16.364,0.610,0.460,123000.000,159000.000,118000.000,56.637,73.213,54.334,1.598,1.873,2.363,0.098,0.114,0.144,0.09240594169,0.07321369619,0.1656196379,60.98263742,0.2368328754,0.1876438881,0.4244767635,0.259
BXH12,Sůl,3,BXH12-S-Skin-3,237.200,38.947,15.463,0.603,0.367,141000.000,183000.000,142000.000,51.682,67.077,52.049,1.458,1.716,2.264,0.094,0.111,0.146,0.09640540299,0.07305356904,0.169458972,60.29788859,0.242821854,0.1840042417,0.4268260957,0.257
BXH12,Voda,4,BXH12-W-Skin-4,243.600,41.792,16.570,0.604,0.414,93300.000,158000.000,114000.000,38.661,65.471,47.238,1.090,1.675,2.055,0.066,0.101,0.124,0.08146381088,0.06638871714,0.147852528,60.35270076,0.2054712741,0.1674482712,0.3729195452,0.225
BXH12,Voda,5,BXH12-W-Skin-5,255.800,44.483,17.219,0.613,0.460,99600.000,162000.000,122000.000,45.845,74.567,56.155,1.293,1.907,2.443,0.075,0.111,0.142,0.08958943586,0.06995025536,0.1595396912,61.29191206,0.2314488796,0.1807122467,0.4121611263,0.253
BXH12,Voda,6,BXH12-W-Skin-6,244.800,42.833,16.561,0.613,0.469,102000.000,155000.000,113000.000,47.801,72.639,52.956,1.348,1.858,2.303,0.081,0.112,0.139,0.08767442813,0.07071369239,0.1583881205,61.33722344,0.2267670248,0.1828986397,0.4096656645,0.251
HXB10,Sůl,1,HXB10-S-Skin-1,239.300,41.094,16.877,0.589,0.418,131000.000,170000.000,130000.000,54.751,71.051,54.333,1.544,1.817,2.363,0.092,0.108,0.140,0.09759521986,0.07504321544,0.1726384353,58.92916022,0.2376265506,0.1827165352,0.4203430858,0.248
HXB10,Sůl,2,HXB10-S-Skin-2,233.000,39.562,16.780,0.576,0.362,148000.000,180000.000,140000.000,53.636,65.233,50.737,1.513,1.668,2.207,0.090,0.099,0.132,0.0968682929,0.07323242816,0.1701007211,57.5868133,0.2283919235,0.1726642911,0.4010562146,0.231
HXB10,Sůl,3,HXB10-S-Skin-3,240.800,40.402,17.272,0.573,0.372,140000.000,173000.000,130000.000,52.040,64.306,48.323,1.468,1.645,2.102,0.085,0.095,0.122,0.09087424096,0.07110839328,0.1619826342,57.25022677,0.2125724515,0.1663363052,0.3789087567,0.217
HXB10,Voda,4,HXB10-W-Skin-4,227.900,38.862,16.580,0.573,0.338,98500.000,173000.000,129000.000,33.266,58.426,43.566,0.938,1.494,1.895,0.057,0.090,0.114,0.08504657597,0.06706416856,0.1521107445,57.33715894,0.1993457863,0.1571957396,0.3565415259,0.204
HXB10,Voda,5,HXB10-W-Skin-5,228.800,42.157,17.566,0.583,0.402,134000.000,179000.000,130000.000,53.810,71.880,52.203,1.518,1.838,2.271,0.086,0.105,0.129,0.09234116991,0.07476225112,0.167103421,58.33103552,0.2216065867,0.1794195082,0.4010260949,0.234
HXB10,Voda,6,HXB10-W-Skin-6,221.300,38.340,15.775,0.589,0.336,131000.000,130000.000,143000.000,44.079,43.742,48.116,1.243,1.119,2.093,0.079,0.071,0.133,0.09275207175,0.04958019749,0.1423322692,58.85527392,0.225428823,0.1205019506,0.3459307736,0.204
HXB17,Sůl,1,HXB17-S-Skin-1,280.100,48.960,19.204,0.608,0.449,157000.000,194000.000,133000.000,70.427,87.024,59.661,1.987,2.226,2.595,0.103,0.116,0.135,0.087212666,0.07480092529,0.1620135913,60.7767692,0.2223495215,0.1907056705,0.413055192,0.251
HXB17,Sůl,2,HXB17-S-Skin-2,296.600,51.281,19.834,0.613,0.458,166000.000,183000.000,137000.000,76.002,83.785,62.724,2.144,2.143,2.728,0.108,0.108,0.138,0.08675906226,0.06814322608,0.1549022883,61.32337723,0.2243191262,0.1761871156,0.4005062419,0.246
HXB17,Sůl,3,HXB17-S-Skin-3,289.900,48.643,19.540,0.598,0.451,152000.000,176000.000,132000.000,68.484,79.297,59.473,1.932,2.028,2.587,0.099,0.104,0.132,0.08888805403,0.06968823315,0.1585762872,59.83011781,0.2212803453,0.1734837877,0.394764133,0.236
HXB17,Voda,4,HXB17-W-Skin-4,278.000,50.789,20.218,0.602,0.446,135000.000,179000.000,132000.000,60.154,79.760,58.817,1.697,2.040,2.558,0.084,0.101,0.127,0.08368643013,0.06672851508,0.1504149452,60.19239106,0.2102272212,0.1676275387,0.3778547599,0.227
HXB17,Voda,5,HXB17-W-Skin-5,271.700,49.346,18.871,0.618,0.580,90300.000,134000.000,97000.000,52.369,77.713,56.255,1.477,1.988,2.447,0.078,0.105,0.130,0.08029193479,0.06522022697,0.1455121618,61.75891398,0.2099624858,0.1705501432,0.380512629,0.235
HXB17,Voda,6,HXB17-W-Skin-6,289.700,51.737,20.882,0.596,0.476,158000.000,181000.000,130000.000,75.177,86.120,61.854,2.120,2.203,2.691,0.102,0.105,0.129,0.08719899002,0.0713877996,0.1585867896,59.63821253,0.2160434299,0.1768697674,0.3929131973,0.234
HXB1,Sůl,1,HXB1-S-Skin-1,297.700,59.157,23.771,0.598,0.502,152000.000,167000.000,141000.000,76.243,83.767,70.726,2.151,2.142,3.076,0.090,0.090,0.129,0.08693881619,0.06054641026,0.1474852265,59.81704635,0.2163574559,0.1506768537,0.3670343095,0.220
