Kmen,Dieta,Číslo,Označení pro ALS,Body Weight (g),Carcass Wet weight (g),Carcass Dry Weight (g),Carcass relative water,Carcass Ash weight (g),Cl- (mg/kg ash),K+ (mg/kg ash),Na+ (mg/kg ash),Total  Cl- in carcass (mg),Total K+ in carcass (mg),Total Na+ in carcass (mg),Total  Cl- in carcass (mmol),Total K+ in carcass (mmol),Total Na+ in carcass (mmol),rCarcass Cl- (mmol /g DW),rCarcass K+ (mmol /g DW),rCarcass Na+ (mmol /g DW),Carcass Na+/Carcass W,Carcass K+/Carcass W,Carcass (Na + K)/Carcass W,%W,rCar Na+/rW,rCar K+/rW,rCar Na+K/rW,rCar (Na+K),,Water/salt consuption,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15
BXH3,Sůl,1,BXH3-S-Carcass-1,286.600,176.804,53.971,0.695,1.802,16000.000,187000.000,54300.000,28.832,336.974,97.849,0.813,8.619,4.256,0.015,0.160,0.079,0.03465008978,0.07016547339,0.1048155632,69.47410692,0.04987482576,0.1009951427,0.1508699684,0.1048155632,,,62.2,82.9,45.9,33.3,50.1,50.1,50.1,46.8,52.4,43.8,46.8,45.6,45.6,45.6
,Sůl,2,BXH3-S-Carcass-2,308.400,188.681,55.312,0.707,1.879,15200.000,176000.000,55400.000,28.561,330.704,104.097,0.806,8.458,4.528,0.015,0.153,0.082,0.03395052206,0.06342006436,0.09737058642,70.68491263,0.04803079016,0.08972220804,0.1377529982,0.09737058642,,,68.8,65.8,57.7,62.1,70.2,70.2,70.2,70.2,43.5,87.4,47.7,75.5,75.5,75.5
,Sůl,3,BXH3-S-Carcass-3,306.600,189.012,57.030,0.698,2.427,18300.000,140000.000,39900.000,44.414,339.780,96.837,1.253,8.690,4.212,0.022,0.152,0.074,0.03191484751,0.06584536845,0.09776021596,69.82731255,0.04570539284,0.09429744042,0.1400028333,0.09776021596,,,81.4,58.1,62.9,65.1,75.3,75.3,75.3,66,74.4,46.1,70.4,67.1,67.1,67.1
,,,Průměr,300.533,184.832,55.438,0.700,2.036,16500.000,167666.667,49866.667,33.936,335.819,99.594,0.957,8.589,4.332,0.017,0.155,0.078,0.03350515311,0.06647696874,0.09998212185,69.99544403,0.04787033625,0.09500493037,0.1428752666,0.09998212185,,,70.8,68.93333333,55.5,53.5,65.2,65.2,65.2,61,56.76666667,59.1,54.96666667,62.73333333,62.73333333,62.73333333
,,,SEM,7.034963802,4.043436095,0.8914924374,0.003620154971,0.198138136,935.6672639,14292.55354,5028.425598,5.276529878,2.701667637,2.285971645,0.1488329486,0.06909936333,0.09943416841,0.002404611595,0.002367902591,0.002350485313,0.000826144724,0.00198649484,0.002436287175,,0.001214733975,0.003296320397,0.004078142626,0.002436287175,,,5.671510883,7.379905014,5.064484126,10.20808384,7.746097606,7.746097606,7.746097606,7.253241941,9.24772006,14.26481657,7.775134866,8.965624012,8.965624012,8.965624012
,Voda,4,BXH3-W-Carcass-4,286.200,175.193,54.402,0.689,2.381,17200.000,132000.000,37600.000,40.953,314.292,89.526,1.155,8.039,3.894,0.021,0.148,0.072,0.03223869626,0.06654889907,0.09878759533,68.94738945,0.04675840016,0.09652127456,0.1432796747,0.09878759533,,,34.5,33.7,32.7,30.3,34.2,34.2,34.2,40.2,34.4,38.7,48.9,40,40,40
,Voda,5,BXH3-W-Carcass-5,264.000,164.897,50.005,0.697,1.707,20200.000,184000.000,53100.000,34.481,314.088,90.642,0.973,8.033,3.943,0.019,0.161,0.079,0.03431650573,0.06992036391,0.1042368696,69.67500925,0.04925224424,0.1003521416,0.1496043858,0.1042368696,,,30.1,27.3,28.1,27.1,30.4,30.4,30.4,35.6,27.2,31.5,29.6,26.9,26.9,26.9
,Voda,6,BXH3-W-Carcass-6,285.300,174.269,53.855,0.691,1.820,17600.000,188000.000,51400.000,32.032,342.160,93.548,0.904,8.751,4.069,0.017,0.162,0.076,0.03379265625,0.07267656278,0.106469219,69.09662648,0.04890637643,0.105181058,0.1540874344,0.106469219,,,30,28.6,28.2,30.7,30.8,30.8,30.8,34.4,28.9,33.4,36.5,32.5,32.5,32.5
,,,Průměr,278.500,171.453,52.754,0.692,1.969,18333.333,168000.000,47366.667,35.822,323.513,91.238,1.010,8.274,3.969,0.019,0.157,0.075,0.03344928608,0.06971527525,0.1031645613,69.23967506,0.04830567361,0.1006848247,0.1489904983,0.1031645613,,,31.53333333,29.86666667,29.66666667,29.36666667,31.8,31.8,31.8,36.73333333,30.16666667,34.53333333,38.33333333,33.13333333,33.13333333,33.13333333
,,,SEM,7.305481839,3.31187695,1.393233984,0.002234440935,0.2098622463,947.0381181,18163.37134,4942.31644,2.679801259,9.388842536,1.207287208,0.07558807254,0.2401342906,0.052514037,0.001304165866,0.004667288057,0.002115075217,0.0006282703394,0.001784288179,0.002297373953,,0.0007855181516,0.002522945734,0.003156958592,0.002297373953,,,1.494008827,1.966743971,1.527569488,1.147182061,1.213989129,1.213989129,1.213989129,1.779994187,2.188035134,2.169417621,5.68589591,3.821467593,3.821467593,3.821467593
